1781547231150700,normal,10004,97,9,0,Format0 ,1.002,1,100.000,1.002
1781547231153768,normal,10007,97,9,0,Format0 ,1.001,1,100.000,1.001
1781547231154786,normal,10008,97,7,0,Format0 ,1.008,1,100.000,1.008
1781547231157115,normal,10010,97,3,0,Format0 ,0.981,1,100.000,0.981
1781547231157822,normal,10011,97,4,1,Format1 ,0.518,1,72.917,0.501
1781547231159878,normal,10013,97,3,0,Format0 ,1.002,1,100.000,1.002
1781547231160877,normal,10014,97,9,0,Format0 ,0.991,1,100.000,0.991
1781547231162097,normal,10015,97,3,0,Format0 ,0.993,1,100.000,0.993
1781547231162916,normal,10016,97,9,0,Format0 ,1.004,1,100.000,1.004
1781547231163921,normal,10017,97,9,0,Format0 ,0.998,1,100.000,0.998
1781547231164949,normal,10018,55327,6,1,Format2 ,0.505,2,65.972,0.423
1781547231165959,normal,10019,97,0,1,Format1 ,0.510,1,79.167,0.499
1781547231167983,normal,10021,5747,4,1,Format2 ,0.508,2,69.444,0.415
1781547231170008,normal,10023,97,3,0,Format0 ,0.996,1,100.000,0.996
1781547231171033,normal,10024,97,9,0,Format0 ,0.993,1,100.000,0.993
1781547231172209,normal,10025,97,4,1,Format1 ,0.509,1,78.472,0.490
1781547231174057,normal,10027,97,9,0,Format0 ,0.992,1,100.000,0.992
1781547231175065,normal,10028,97,7,0,Format0 ,0.992,1,100.000,0.992
1781547231177489,normal,10030,97,3,0,Format0 ,0.989,1,100.000,0.989
1781547231178105,normal,10031,17389,4,1,Format2 ,0.514,2,72.222,0.393
1781547231179131,normal,10032,97,8,1,Format1 ,0.509,1,73.611,0.497
1781547231181179,normal,10034,97,9,0,Format0 ,1.000,1,100.000,1.000
1781547231182378,normal,10035,97,3,0,Format0 ,1.001,1,100.000,1.001
1781547231183357,normal,10036,97,9,0,Format0 ,0.996,1,100.000,0.996
1781547231184218,normal,10037,2983,0,1,Format2 ,0.523,2,70.139,0.476
1781547231184218,normal,10037,103,4,1,Format1 ,0.508,1,77.083,0.498
1781547231186238,normal,10039,97,0,1,Format1 ,0.519,1,75.694,0.506
1781547231187547,normal,10040,97,3,0,Format0 ,0.994,1,100.000,0.994
1781547231188255,normal,10041,27539,4,1,Format2 ,0.514,2,72.222,0.482
1781547231189267,normal,10042,97,8,1,Format1 ,0.511,1,71.528,0.490
1781547231190309,normal,10043,97,3,0,Format0 ,0.980,1,100.000,0.980
1781547231191310,normal,10044,97,9,0,Format0 ,0.997,1,100.000,0.997
1781547231194324,normal,10047,97,9,0,Format0 ,0.985,1,100.000,0.985
1781547231195329,normal,10048,97,6,1,Format1 ,0.514,1,75.694,0.499
1781547231196338,normal,10049,97,0,1,Format1 ,0.514,1,79.861,0.502
1781547231197658,normal,10050,97,3,0,Format0 ,0.989,1,100.000,0.989
1781547231198377,normal,10051,97,4,1,Format1 ,0.572,1,77.778,0.485
1781547231200468,normal,10053,97,3,0,Format0 ,0.965,1,98.611,0.959
1781547231202699,normal,10055,97,3,0,Format0 ,1.006,1,100.000,1.006
1781547231204535,normal,10057,97,9,0,Format0 ,0.989,1,100.000,0.989
1781547231205544,normal,10058,8476,6,1,Format2 ,0.504,2,69.444,0.449
1781547231206557,normal,10059,46861,0,1,Format2 ,0.516,2,70.139,0.417
1781547231207928,normal,10060,97,3,0,Format0 ,0.997,1,100.000,0.997
1781547231211644,normal,10064,97,9,0,Format0 ,0.997,1,100.000,0.997
1781547231212875,normal,10065,10528,4,1,Format2 ,0.501,2,67.361,0.375
1781547231214692,normal,10067,97,9,0,Format0 ,1.004,1,100.000,1.004
1781547231215733,normal,10068,13935,6,1,Format2 ,0.507,2,66.667,0.381
1781547231216729,normal,10069,97,0,1,Format1 ,0.519,1,73.611,0.499
1781547231218169,normal,10070,97,3,0,Format0 ,0.989,1,100.000,0.989
1781547231220786,normal,10073,97,3,0,Format0 ,0.984,1,100.000,0.984
1781547231221801,normal,10074,97,9,0,Format0 ,0.984,1,100.000,0.984
1781547231222989,normal,10075,97,3,0,Format0 ,1.000,1,100.000,1.000
1781547231223820,normal,10076,97,9,0,Format0 ,1.014,1,100.000,1.014
1781547231224831,normal,10077,97,9,0,Format0 ,1.005,1,100.000,1.005
1781547231226849,normal,10079,97,0,1,Format1 ,0.513,1,79.861,0.497
1781547231228129,normal,10080,97,3,0,Format0 ,0.989,1,100.000,0.989
1781547231228878,normal,10081,97,4,1,Format1 ,0.515,1,76.389,0.496
1781547231234989,normal,10087,97,9,0,Format0 ,0.999,1,100.000,0.999
1781547231285755,normal,10137,97,9,0,Format0 ,0.995,1,100.000,0.995
1781547231379160,normal,10229,23458,6,1,Format2 ,0.517,2,75.000,0.437
1781547231388322,normal,10238,96,1,0,Format0 ,0.996,1,100.000,0.996
1781547231429934,normal,39,96,6,1,Format1 ,0.520,1,73.611,0.499
1781547231471819,normal,80,96,6,1,Format1 ,0.510,1,75.000,0.498
1781547231724452,normal,329,15308,3,0,Format0 ,0.996,2,91.667,0.830
1781547231734647,normal,339,6007,2,1,Format0 ,0.998,2,81.944,0.648
1781547231896241,normal,498,104,0,3,Format1A,0.992,1,100.000,0.992
1781547231921669,normal,523,104,0,3,Format1A,0.992,1,100.000,0.992
1781547231942026,normal,543,104,0,3,Format1A,0.989,1,100.000,0.989
1781547231962358,normal,563,104,0,3,Format1 ,0.997,1,100.000,0.997
1781547232049727,normal,649,15308,3,0,Format0 ,0.998,2,91.667,0.829
1781547232059908,normal,659,6007,2,1,Format0 ,0.991,2,81.944,0.643
1781547232370938,normal,965,55259,2,1,Format0 ,0.996,2,79.167,0.591
1781547232384960,normal,979,6007,2,1,Format0 ,0.997,2,81.944,0.644
1781547232709900,normal,1299,6007,2,1,Format0 ,0.995,2,81.944,0.647
1781547232730221,normal,1319,96,6,1,Format1 ,0.508,1,75.000,0.493
1781547232872441,normal,1459,6007,2,1,Format0 ,1.006,2,81.944,0.650
1781547233024811,normal,1609,15308,3,0,Format0 ,1.008,2,91.667,0.842
1781547233188574,normal,1763,96,1,0,Format0 ,0.998,1,100.000,0.998
1781547233190771,normal,1765,23386,2,0,Format0 ,0.988,2,97.222,0.932
1781547233204838,normal,1779,6007,2,1,Format0 ,0.998,2,81.944,0.645
1781547233231385,normal,1805,12129,2,1,Format0 ,0.995,2,83.333,0.661
1781547233245439,normal,1819,96,6,1,Format1 ,0.509,1,72.917,0.489
1781547233272035,normal,1845,23386,2,0,Format0 ,0.986,2,97.222,0.931
1781547233292367,normal,1865,28594,2,0,Format0 ,0.995,2,97.222,0.940
1781547233312662,normal,1885,12129,2,1,Format0 ,0.977,2,83.333,0.648
1781547233353242,normal,1925,23386,2,0,Format0 ,0.990,2,97.222,0.935
1781547233373574,normal,1945,28594,2,0,Format0 ,0.985,2,97.222,0.929
1781547233393922,normal,1965,12129,2,1,Format0 ,1.001,2,83.333,0.666
1781547233434574,normal,2005,23386,2,0,Format0 ,0.989,2,97.222,0.934
1781547233454913,normal,2025,28594,2,0,Format0 ,0.991,2,97.222,0.935
